co_fips,co_name,state,mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
12035,"Flagler County, FL",FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",82,152,-70,91,182,-91,0,119,-119,0,87,-87,0,140,-140,0,186,-186,0,95,-95,173,961,-788
33015,"Rockingham County, NH",NH,14460,"Boston-Cambridge-Newton, MA-NH",82,97,-15,92,105,-13,63,73,-10,57,43,14,81,80,1,74,138,-64,76,88,-12,525,624,-99
39113,"Montgomery County, OH",OH,19430,"Dayton-Kettering, OH",81,60,21,59,103,-44,0,0,0,0,0,0,0,0,0,28,86,-58,32,35,-3,200,284,-84
36025,"Delaware County, NY",NY,0,non-metro,80,155,-75,62,168,-106,41,173,-132,27,64,-37,0,85,-85,0,179,-179,0,185,-185,210,1009,-799
31055,"Douglas County, NE",NE,36540,"Omaha-Council Bluffs, NE-IA",80,111,-31,82,94,-12,32,73,-41,56,38,18,78,74,4,74,66,8,68,65,3,470,521,-51
10001,"Kent County, DE",DE,20100,"Dover, DE",78,182,-104,62,153,-91,40,85,-45,33,161,-128,0,157,-157,36,266,-230,36,244,-208,285,1248,-963
53061,"Snohomish County, WA",WA,42660,"Seattle-Tacoma-Bellevue, WA",77,108,-31,66,131,-65,0,95,-95,56,0,56,28,104,-76,62,220,-158,30,61,-31,319,719,-400
39017,"Butler County, OH",OH,17140,"Cincinnati, OH-KY-IN",76,65,11,62,72,-10,0,0,0,23,0,23,0,48,-48,0,57,-57,0,41,-41,161,283,-122
13215,"Muscogee County, GA",GA,17980,"Columbus, GA-AL",76,54,22,39,106,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-35,115,195,-80
42041,"Cumberland County, PA",PA,25420,"Harrisburg-Carlisle, PA",75,112,-37,84,75,9,26,0,26,25,0,25,0,87,-87,61,147,-86,30,122,-92,301,543,-242
51650,"Hampton city, VA",VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",74,138,-64,92,95,-3,39,72,-33,0,0,0,0,72,-72,0,153,-153,36,77,-41,241,607,-366
47093,"Knox County, TN",TN,28940,"Knoxville, TN",72,63,9,65,61,4,67,0,67,0,0,0,58,0,58,80,75,5,44,29,15,386,228,158
45015,"Berkeley County, SC",SC,16700,"Charleston-North Charleston, SC",72,142,-70,59,63,-4,0,71,-71,0,0,0,0,0,0,0,89,-89,0,134,-134,131,499,-368
05119,"Pulaski County, AR",AR,30780,"Little Rock-North Little Rock-Conway, AR",71,77,-6,80,46,34,32,0,32,0,0,0,66,0,66,27,0,27,0,0,0,276,123,153
44009,"Washington County, RI",RI,39300,"Providence-Warwick, RI-MA",70,63,7,95,67,28,43,39,4,0,0,0,29,44,-15,30,47,-17,30,36,-6,297,296,1
17019,"Champaign County, IL",IL,16580,"Champaign-Urbana, IL",70,78,-8,47,28,19,76,0,76,0,0,0,29,0,29,77,24,53,33,0,33,332,130,202
19153,"Polk County, IA",IA,19780,"Des Moines-West Des Moines, IA",70,73,-3,41,66,-25,0,0,0,0,0,0,27,25,2,26,57,-31,41,0,41,205,221,-16
22033,"East Baton Rouge Parish, LA",LA,12940,"Baton Rouge, LA",67,69,-2,69,93,-24,71,42,29,58,0,58,0,0,0,62,76,-14,58,0,58,385,280,105
21067,"Fayette County, KY",KY,30460,"Lexington-Fayette, KY",67,81,-14,87,102,-15,58,31,27,28,0,28,25,36,-11,74,101,-27,42,0,42,381,351,30
