ccode,cname,mcode,mname,mtype
13231,"Pike County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13233,"Polk County, GA",16340,"Cedartown, GA",Micropolitan Statistical Area
13239,"Quitman County, GA",21640,"Eufaula, AL-GA",Micropolitan Statistical Area
13245,"Richmond County, GA",12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area
13247,"Rockdale County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13249,"Schley County, GA",11140,"Americus, GA",Micropolitan Statistical Area
13255,"Spalding County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13257,"Stephens County, GA",45740,"Toccoa, GA",Micropolitan Statistical Area
13259,"Stewart County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13261,"Sumter County, GA",11140,"Americus, GA",Micropolitan Statistical Area
13263,"Talbot County, GA",17980,"Columbus, GA-AL",Metropolitan Statistical Area
13273,"Terrell County, GA",10500,"Albany, GA",Metropolitan Statistical Area
13275,"Thomas County, GA",45620,"Thomasville, GA",Micropolitan Statistical Area
13277,"Tift County, GA",45700,"Tifton, GA",Micropolitan Statistical Area
13279,"Toombs County, GA",47080,"Vidalia, GA",Micropolitan Statistical Area
13283,"Treutlen County, GA",20140,"Dublin, GA",Micropolitan Statistical Area
13285,"Troup County, GA",29300,"LaGrange, GA-AL",Micropolitan Statistical Area
13289,"Twiggs County, GA",31420,"Macon-Bibb County, GA",Metropolitan Statistical Area
13293,"Upson County, GA",45580,"Thomaston, GA",Micropolitan Statistical Area
13295,"Walker County, GA",16860,"Chattanooga, TN-GA",Metropolitan Statistical Area
13297,"Walton County, GA",12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area
13299,"Ware County, GA",48180,"Waycross, GA",Micropolitan Statistical Area
13305,"Wayne County, GA",27700,"Jesup, GA",Micropolitan Statistical Area
13313,"Whitfield County, GA",19140,"Dalton, GA",Metropolitan Statistical Area
13321,"Worth County, GA",10500,"Albany, GA",Metropolitan Statistical Area
15001,"Hawaii County, HI",25900,"Hilo, HI",Micropolitan Statistical Area
15003,"Honolulu County, HI",46520,"Urban Honolulu, HI",Metropolitan Statistical Area
15007,"Kauai County, HI",28180,"Kapaa, HI",Micropolitan Statistical Area
15009,"Maui County, HI",27980,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area
16001,"Ada County, ID",14260,"Boise City, ID",Metropolitan Statistical Area
16005,"Bannock County, ID",38540,"Pocatello, ID",Metropolitan Statistical Area
16011,"Bingham County, ID",13940,"Blackfoot, ID",Micropolitan Statistical Area
16013,"Blaine County, ID",25200,"Hailey, ID",Micropolitan Statistical Area
16015,"Boise County, ID",14260,"Boise City, ID",Metropolitan Statistical Area
16017,"Bonner County, ID",41760,"Sandpoint, ID",Micropolitan Statistical Area
16019,"Bonneville County, ID",26820,"Idaho Falls, ID",Metropolitan Statistical Area
16023,"Butte County, ID",26820,"Idaho Falls, ID",Metropolitan Statistical Area
16025,"Camas County, ID",25200,"Hailey, ID",Micropolitan Statistical Area
16027,"Canyon County, ID",14260,"Boise City, ID",Metropolitan Statistical Area
16031,"Cassia County, ID",15420,"Burley, ID",Micropolitan Statistical Area
16039,"Elmore County, ID",34300,"Mountain Home, ID",Micropolitan Statistical Area
16041,"Franklin County, ID",30860,"Logan, UT-ID",Metropolitan Statistical Area
16043,"Fremont County, ID",39940,"Rexburg, ID",Micropolitan Statistical Area
16045,"Gem County, ID",14260,"Boise City, ID",Metropolitan Statistical Area
16051,"Jefferson County, ID",26820,"Idaho Falls, ID",Metropolitan Statistical Area
16053,"Jerome County, ID",46300,"Twin Falls, ID",Metropolitan Statistical Area
16055,"Kootenai County, ID",17660,"Coeur d'Alene, ID",Metropolitan Statistical Area
16057,"Latah County, ID",34140,"Moscow, ID",Micropolitan Statistical Area
16065,"Madison County, ID",39940,"Rexburg, ID",Micropolitan Statistical Area
16067,"Minidoka County, ID",15420,"Burley, ID",Micropolitan Statistical Area
16069,"Nez Perce County, ID",30300,"Lewiston, ID-WA",Metropolitan Statistical Area
16073,"Owyhee County, ID",14260,"Boise City, ID",Metropolitan Statistical Area
16075,"Payette County, ID",36620,"Ontario, OR-ID",Micropolitan Statistical Area
16077,"Power County, ID",38540,"Pocatello, ID",Metropolitan Statistical Area
16081,"Teton County, ID",27220,"Jackson, WY-ID",Micropolitan Statistical Area
16083,"Twin Falls County, ID",46300,"Twin Falls, ID",Metropolitan Statistical Area
17001,"Adams County, IL",39500,"Quincy, IL-MO",Micropolitan Statistical Area
17003,"Alexander County, IL",16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area
17005,"Bond County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17007,"Boone County, IL",40420,"Rockford, IL",Metropolitan Statistical Area
17011,"Bureau County, IL",36837,"Ottawa, IL",Micropolitan Statistical Area
17013,"Calhoun County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17019,"Champaign County, IL",16580,"Champaign-Urbana, IL",Metropolitan Statistical Area
17021,"Christian County, IL",45380,"Taylorville, IL",Micropolitan Statistical Area
17027,"Clinton County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17029,"Coles County, IL",16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area
17031,"Cook County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17035,"Cumberland County, IL",16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area
17037,"DeKalb County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17043,"DuPage County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17049,"Effingham County, IL",20820,"Effingham, IL",Micropolitan Statistical Area
17057,"Fulton County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
17063,"Grundy County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17067,"Hancock County, IL",22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area
17071,"Henderson County, IL",15460,"Burlington, IA-IL",Micropolitan Statistical Area
17073,"Henry County, IL",19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area
17077,"Jackson County, IL",16060,"Carbondale-Marion, IL",Metropolitan Statistical Area
17081,"Jefferson County, IL",34500,"Mount Vernon, IL",Micropolitan Statistical Area
17083,"Jersey County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17087,"Johnson County, IL",16060,"Carbondale-Marion, IL",Metropolitan Statistical Area
17089,"Kane County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17091,"Kankakee County, IL",28100,"Kankakee, IL",Metropolitan Statistical Area
17093,"Kendall County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17095,"Knox County, IL",23660,"Galesburg, IL",Micropolitan Statistical Area
17097,"Lake County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17099,"LaSalle County, IL",36837,"Ottawa, IL",Micropolitan Statistical Area
17103,"Lee County, IL",19940,"Dixon, IL",Micropolitan Statistical Area
17105,"Livingston County, IL",38700,"Pontiac, IL",Micropolitan Statistical Area
17107,"Logan County, IL",30660,"Lincoln, IL",Micropolitan Statistical Area
17109,"McDonough County, IL",31380,"Macomb, IL",Micropolitan Statistical Area
17111,"McHenry County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17113,"McLean County, IL",14010,"Bloomington, IL",Metropolitan Statistical Area
17115,"Macon County, IL",19500,"Decatur, IL",Metropolitan Statistical Area
17117,"Macoupin County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17119,"Madison County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17121,"Marion County, IL",16460,"Centralia, IL",Micropolitan Statistical Area
17123,"Marshall County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
17127,"Massac County, IL",37140,"Paducah, KY-IL",Micropolitan Statistical Area
17129,"Menard County, IL",44100,"Springfield, IL",Metropolitan Statistical Area
17131,"Mercer County, IL",19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area
17133,"Monroe County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17137,"Morgan County, IL",27300,"Jacksonville, IL",Micropolitan Statistical Area
17141,"Ogle County, IL",40300,"Rochelle, IL",Micropolitan Statistical Area
17143,"Peoria County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
17147,"Piatt County, IL",16580,"Champaign-Urbana, IL",Metropolitan Statistical Area
17155,"Putnam County, IL",36837,"Ottawa, IL",Micropolitan Statistical Area
17161,"Rock Island County, IL",19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area
17163,"St. Clair County, IL",41180,"St. Louis, MO-IL",Metropolitan Statistical Area
17167,"Sangamon County, IL",44100,"Springfield, IL",Metropolitan Statistical Area
17171,"Scott County, IL",27300,"Jacksonville, IL",Micropolitan Statistical Area
17175,"Stark County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
17177,"Stephenson County, IL",23300,"Freeport, IL",Micropolitan Statistical Area
17179,"Tazewell County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
17183,"Vermilion County, IL",19180,"Danville, IL",Metropolitan Statistical Area
17195,"Whiteside County, IL",44580,"Sterling, IL",Micropolitan Statistical Area
17197,"Will County, IL",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
17199,"Williamson County, IL",16060,"Carbondale-Marion, IL",Metropolitan Statistical Area
17201,"Winnebago County, IL",40420,"Rockford, IL",Metropolitan Statistical Area
17203,"Woodford County, IL",37900,"Peoria, IL",Metropolitan Statistical Area
18001,"Adams County, IN",19540,"Decatur, IN",Micropolitan Statistical Area
18003,"Allen County, IN",23060,"Fort Wayne, IN",Metropolitan Statistical Area
18005,"Bartholomew County, IN",18020,"Columbus, IN",Metropolitan Statistical Area
18007,"Benton County, IN",29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area
18011,"Boone County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18013,"Brown County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18015,"Carroll County, IN",29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area
18017,"Cass County, IN",30900,"Logansport, IN",Micropolitan Statistical Area
18019,"Clark County, IN",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
18021,"Clay County, IN",45460,"Terre Haute, IN",Metropolitan Statistical Area
18023,"Clinton County, IN",23140,"Frankfort, IN",Micropolitan Statistical Area
18027,"Daviess County, IN",47780,"Washington, IN",Micropolitan Statistical Area
18029,"Dearborn County, IN",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
18031,"Decatur County, IN",24700,"Greensburg, IN",Micropolitan Statistical Area
18033,"DeKalb County, IN",12140,"Auburn, IN",Micropolitan Statistical Area
18035,"Delaware County, IN",34620,"Muncie, IN",Metropolitan Statistical Area
18037,"Dubois County, IN",27540,"Jasper, IN",Micropolitan Statistical Area
18039,"Elkhart County, IN",21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area
18041,"Fayette County, IN",18220,"Connersville, IN",Micropolitan Statistical Area
18043,"Floyd County, IN",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
18047,"Franklin County, IN",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
18053,"Grant County, IN",31980,"Marion, IN",Micropolitan Statistical Area
18057,"Hamilton County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18059,"Hancock County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18061,"Harrison County, IN",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
18063,"Hendricks County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18065,"Henry County, IN",35220,"New Castle, IN",Micropolitan Statistical Area
18067,"Howard County, IN",29020,"Kokomo, IN",Metropolitan Statistical Area
18069,"Huntington County, IN",26540,"Huntington, IN",Micropolitan Statistical Area
18071,"Jackson County, IN",42980,"Seymour, IN",Micropolitan Statistical Area
18073,"Jasper County, IN",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
18077,"Jefferson County, IN",31500,"Madison, IN",Micropolitan Statistical Area
18079,"Jennings County, IN",35860,"North Vernon, IN",Micropolitan Statistical Area
18081,"Johnson County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18083,"Knox County, IN",47180,"Vincennes, IN",Micropolitan Statistical Area
18085,"Kosciusko County, IN",47700,"Warsaw, IN",Micropolitan Statistical Area
18089,"Lake County, IN",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
18091,"LaPorte County, IN",33140,"Michigan City-La Porte, IN",Metropolitan Statistical Area
18093,"Lawrence County, IN",13260,"Bedford, IN",Micropolitan Statistical Area
18095,"Madison County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18097,"Marion County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18099,"Marshall County, IN",38500,"Plymouth, IN",Micropolitan Statistical Area
18103,"Miami County, IN",37940,"Peru, IN",Micropolitan Statistical Area
18105,"Monroe County, IN",14020,"Bloomington, IN",Metropolitan Statistical Area
18107,"Montgomery County, IN",18820,"Crawfordsville, IN",Micropolitan Statistical Area
18109,"Morgan County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18111,"Newton County, IN",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
18113,"Noble County, IN",28340,"Kendallville, IN",Micropolitan Statistical Area
18115,"Ohio County, IN",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
18119,"Owen County, IN",14020,"Bloomington, IN",Metropolitan Statistical Area
18121,"Parke County, IN",45460,"Terre Haute, IN",Metropolitan Statistical Area
18125,"Pike County, IN",27540,"Jasper, IN",Micropolitan Statistical Area
18127,"Porter County, IN",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
18129,"Posey County, IN",21780,"Evansville, IN-KY",Metropolitan Statistical Area
18133,"Putnam County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18141,"St. Joseph County, IN",43780,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area
18143,"Scott County, IN",42500,"Scottsburg, IN",Micropolitan Statistical Area
18145,"Shelby County, IN",26900,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area
18151,"Steuben County, IN",11420,"Angola, IN",Micropolitan Statistical Area
18153,"Sullivan County, IN",45460,"Terre Haute, IN",Metropolitan Statistical Area
18157,"Tippecanoe County, IN",29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area
18161,"Union County, IN",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
18163,"Vanderburgh County, IN",21780,"Evansville, IN-KY",Metropolitan Statistical Area
18165,"Vermillion County, IN",45460,"Terre Haute, IN",Metropolitan Statistical Area
18167,"Vigo County, IN",45460,"Terre Haute, IN",Metropolitan Statistical Area
18169,"Wabash County, IN",47340,"Wabash, IN",Micropolitan Statistical Area
18171,"Warren County, IN",29200,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area
18173,"Warrick County, IN",21780,"Evansville, IN-KY",Metropolitan Statistical Area
18175,"Washington County, IN",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
18177,"Wayne County, IN",39980,"Richmond, IN",Micropolitan Statistical Area
18183,"Whitley County, IN",23060,"Fort Wayne, IN",Metropolitan Statistical Area
19011,"Benton County, IA",16300,"Cedar Rapids, IA",Metropolitan Statistical Area
19013,"Black Hawk County, IA",47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area
19015,"Boone County, IA",11180,"Ames, IA",Metropolitan Statistical Area
19017,"Bremer County, IA",47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area
19021,"Buena Vista County, IA",44740,"Storm Lake, IA",Micropolitan Statistical Area
19027,"Carroll County, IA",16140,"Carroll, IA",Micropolitan Statistical Area
19033,"Cerro Gordo County, IA",32380,"Mason City, IA",Micropolitan Statistical Area
19041,"Clay County, IA",43980,"Spencer, IA",Micropolitan Statistical Area
19045,"Clinton County, IA",17540,"Clinton, IA",Micropolitan Statistical Area
19049,"Dallas County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19057,"Des Moines County, IA",15460,"Burlington, IA-IL",Micropolitan Statistical Area
19059,"Dickinson County, IA",44020,"Spirit Lake, IA",Micropolitan Statistical Area
19061,"Dubuque County, IA",20220,"Dubuque, IA",Metropolitan Statistical Area
19075,"Grundy County, IA",47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area
19077,"Guthrie County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19085,"Harrison County, IA",36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area
19099,"Jasper County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19101,"Jefferson County, IA",21840,"Fairfield, IA",Micropolitan Statistical Area
19103,"Johnson County, IA",26980,"Iowa City, IA",Metropolitan Statistical Area
19105,"Jones County, IA",16300,"Cedar Rapids, IA",Metropolitan Statistical Area
19111,"Lee County, IA",22800,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area
19113,"Linn County, IA",16300,"Cedar Rapids, IA",Metropolitan Statistical Area
19121,"Madison County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19123,"Mahaska County, IA",36820,"Oskaloosa, IA",Micropolitan Statistical Area
19125,"Marion County, IA",37800,"Pella, IA",Micropolitan Statistical Area
19127,"Marshall County, IA",32260,"Marshalltown, IA",Micropolitan Statistical Area
19129,"Mills County, IA",36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area
19139,"Muscatine County, IA",34700,"Muscatine, IA",Micropolitan Statistical Area
19153,"Polk County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19155,"Pottawattamie County, IA",36540,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area
19163,"Scott County, IA",19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area
19169,"Story County, IA",11180,"Ames, IA",Metropolitan Statistical Area
19179,"Wapello County, IA",36900,"Ottumwa, IA",Micropolitan Statistical Area
19181,"Warren County, IA",19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area
19183,"Washington County, IA",26980,"Iowa City, IA",Metropolitan Statistical Area
19187,"Webster County, IA",22700,"Fort Dodge, IA",Micropolitan Statistical Area
19193,"Woodbury County, IA",43580,"Sioux City, IA-NE-SD",Metropolitan Statistical Area
19195,"Worth County, IA",32380,"Mason City, IA",Micropolitan Statistical Area
20005,"Atchison County, KS",11860,"Atchison, KS",Micropolitan Statistical Area
20009,"Barton County, KS",24460,"Great Bend, KS",Micropolitan Statistical Area
20015,"Butler County, KS",48620,"Wichita, KS",Metropolitan Statistical Area
20017,"Chase County, KS",21380,"Emporia, KS",Micropolitan Statistical Area
20035,"Cowley County, KS",49060,"Winfield, KS",Micropolitan Statistical Area
20037,"Crawford County, KS",38260,"Pittsburg, KS",Micropolitan Statistical Area
20043,"Doniphan County, KS",41140,"St. Joseph, MO-KS",Metropolitan Statistical Area
20045,"Douglas County, KS",29940,"Lawrence, KS",Metropolitan Statistical Area
20051,"Ellis County, KS",25700,"Hays, KS",Micropolitan Statistical Area
20055,"Finney County, KS",23780,"Garden City, KS",Micropolitan Statistical Area
20057,"Ford County, KS",19980,"Dodge City, KS",Micropolitan Statistical Area
20059,"Franklin County, KS",36840,"Ottawa, KS",Micropolitan Statistical Area
20061,"Geary County, KS",31740,"Manhattan, KS",Metropolitan Statistical Area
20079,"Harvey County, KS",48620,"Wichita, KS",Metropolitan Statistical Area
20085,"Jackson County, KS",45820,"Topeka, KS",Metropolitan Statistical Area
20087,"Jefferson County, KS",45820,"Topeka, KS",Metropolitan Statistical Area
20091,"Johnson County, KS",28140,"Kansas City, MO-KS",Metropolitan Statistical Area
20093,"Kearny County, KS",23780,"Garden City, KS",Micropolitan Statistical Area
20099,"Labette County, KS",37660,"Parsons, KS",Micropolitan Statistical Area
20103,"Leavenworth County, KS",28140,"Kansas City, MO-KS",Metropolitan Statistical Area
20107,"Linn County, KS",28140,"Kansas City, MO-KS",Metropolitan Statistical Area
20111,"Lyon County, KS",21380,"Emporia, KS",Micropolitan Statistical Area
20113,"McPherson County, KS",32700,"McPherson, KS",Micropolitan Statistical Area
20121,"Miami County, KS",28140,"Kansas City, MO-KS",Metropolitan Statistical Area
20125,"Montgomery County, KS",17700,"Coffeyville, KS",Micropolitan Statistical Area
20139,"Osage County, KS",45820,"Topeka, KS",Metropolitan Statistical Area
20143,"Ottawa County, KS",41460,"Salina, KS",Micropolitan Statistical Area
20149,"Pottawatomie County, KS",31740,"Manhattan, KS",Metropolitan Statistical Area
20155,"Reno County, KS",26740,"Hutchinson, KS",Micropolitan Statistical Area
20161,"Riley County, KS",31740,"Manhattan, KS",Metropolitan Statistical Area
20169,"Saline County, KS",41460,"Salina, KS",Micropolitan Statistical Area
20173,"Sedgwick County, KS",48620,"Wichita, KS",Metropolitan Statistical Area
20175,"Seward County, KS",30580,"Liberal, KS",Micropolitan Statistical Area
20177,"Shawnee County, KS",45820,"Topeka, KS",Metropolitan Statistical Area
20191,"Sumner County, KS",48620,"Wichita, KS",Metropolitan Statistical Area
20197,"Wabaunsee County, KS",45820,"Topeka, KS",Metropolitan Statistical Area
20209,"Wyandotte County, KS",28140,"Kansas City, MO-KS",Metropolitan Statistical Area
21003,"Allen County, KY",14540,"Bowling Green, KY",Metropolitan Statistical Area
21005,"Anderson County, KY",23180,"Frankfort, KY",Micropolitan Statistical Area
21007,"Ballard County, KY",37140,"Paducah, KY-IL",Micropolitan Statistical Area
21009,"Barren County, KY",23980,"Glasgow, KY",Micropolitan Statistical Area
21011,"Bath County, KY",34460,"Mount Sterling, KY",Micropolitan Statistical Area
21013,"Bell County, KY",33180,"Middlesborough, KY",Micropolitan Statistical Area
21015,"Boone County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21017,"Bourbon County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
21019,"Boyd County, KY",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
21021,"Boyle County, KY",19220,"Danville, KY",Micropolitan Statistical Area
21023,"Bracken County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21029,"Bullitt County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21031,"Butler County, KY",14540,"Bowling Green, KY",Metropolitan Statistical Area
21035,"Calloway County, KY",34660,"Murray, KY",Micropolitan Statistical Area
21037,"Campbell County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21043,"Carter County, KY",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
21047,"Christian County, KY",17300,"Clarksville, TN-KY",Metropolitan Statistical Area
21049,"Clark County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
21051,"Clay County, KY",30940,"London, KY",Micropolitan Statistical Area
21059,"Daviess County, KY",36980,"Owensboro, KY",Metropolitan Statistical Area
21061,"Edmonson County, KY",14540,"Bowling Green, KY",Metropolitan Statistical Area
21065,"Estill County, KY",40080,"Richmond-Berea, KY",Micropolitan Statistical Area
21067,"Fayette County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
21073,"Franklin County, KY",23180,"Frankfort, KY",Micropolitan Statistical Area
21077,"Gallatin County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21081,"Grant County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21083,"Graves County, KY",32460,"Mayfield, KY",Micropolitan Statistical Area
21087,"Green County, KY",15820,"Campbellsville, KY",Micropolitan Statistical Area
21089,"Greenup County, KY",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
21091,"Hancock County, KY",36980,"Owensboro, KY",Metropolitan Statistical Area
21093,"Hardin County, KY",21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area
21101,"Henderson County, KY",21780,"Evansville, IN-KY",Metropolitan Statistical Area
21103,"Henry County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21107,"Hopkins County, KY",31580,"Madisonville, KY",Micropolitan Statistical Area
21111,"Jefferson County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21113,"Jessamine County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
21117,"Kenton County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21121,"Knox County, KY",30940,"London, KY",Micropolitan Statistical Area
21123,"Larue County, KY",21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area
21125,"Laurel County, KY",30940,"London, KY",Micropolitan Statistical Area
21137,"Lincoln County, KY",19220,"Danville, KY",Micropolitan Statistical Area
21139,"Livingston County, KY",37140,"Paducah, KY-IL",Micropolitan Statistical Area
21145,"McCracken County, KY",37140,"Paducah, KY-IL",Micropolitan Statistical Area
21149,"McLean County, KY",36980,"Owensboro, KY",Metropolitan Statistical Area
21151,"Madison County, KY",40080,"Richmond-Berea, KY",Micropolitan Statistical Area
21161,"Mason County, KY",32500,"Maysville, KY",Micropolitan Statistical Area
21163,"Meade County, KY",21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area
21165,"Menifee County, KY",34460,"Mount Sterling, KY",Micropolitan Statistical Area
21169,"Metcalfe County, KY",23980,"Glasgow, KY",Micropolitan Statistical Area
21173,"Montgomery County, KY",34460,"Mount Sterling, KY",Micropolitan Statistical Area
21177,"Muhlenberg County, KY",16420,"Central City, KY",Micropolitan Statistical Area
21179,"Nelson County, KY",12680,"Bardstown, KY",Micropolitan Statistical Area
21185,"Oldham County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21191,"Pendleton County, KY",17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area
21199,"Pulaski County, KY",43700,"Somerset, KY",Micropolitan Statistical Area
21209,"Scott County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
21211,"Shelby County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21215,"Spencer County, KY",31140,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area
21217,"Taylor County, KY",15820,"Campbellsville, KY",Micropolitan Statistical Area
21221,"Trigg County, KY",17300,"Clarksville, TN-KY",Metropolitan Statistical Area
21227,"Warren County, KY",14540,"Bowling Green, KY",Metropolitan Statistical Area
21235,"Whitley County, KY",30940,"London, KY",Micropolitan Statistical Area
21239,"Woodford County, KY",30460,"Lexington-Fayette, KY",Metropolitan Statistical Area
22001,"Acadia Parish, LA",29180,"Lafayette, LA",Metropolitan Statistical Area
22005,"Ascension Parish, LA",12940,"Baton Rouge, LA",Metropolitan Statistical Area
22007,"Assumption Parish, LA",12940,"Baton Rouge, LA",Metropolitan Statistical Area
22011,"Beauregard Parish, LA",19760,"DeRidder, LA",Micropolitan Statistical Area
22015,"Bossier Parish, LA",43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area
22017,"Caddo Parish, LA",43340,"Shreveport-Bossier City, LA",Metropolitan Statistical Area
